Category: All categories,
,
Month,diets: (United States)
2012-02,82
2012-03,80
2012-04,100
2012-05,86
2012-06,81
2012-07,74
2012-08,70
2012-09,72
2012-10,70
2012-11,70
2012-12,57
2013-01,81
2013-02,79
2013-03,75
2013-04,74
2013-05,65
2013-06,62
2013-07,64
2013-08,59
2013-09,60
2013-10,62
2013-11,58
2013-12,58
2014-01,77
2014-02,65
2014-03,65
2014-04,63
2014-05,61
2014-06,62
2014-07,60
2014-08,49
2014-09,52
2014-10,52
2014-11,51
2014-12,45
2015-01,70
2015-02,59
2015-03,57
2015-04,58
2015-05,60
2015-06,52
2015-07,54
2015-08,45
2015-09,48
2015-10,49
2015-11,46
2015-12,44
2016-01,56
2016-02,57
2016-03,53
2016-04,49
2016-05,49
2016-06,43
2016-07,43
2016-08,42
2016-09,42
2016-10,42
2016-11,41
2016-12,40
2017-01,50
2017-02,52
2017-03,49
2017-04,47
2017-05,54
2017-06,45
2017-07,49
2017-08,39
2017-09,42
2017-10,44
2017-11,40
2017-12,40
2018-01,59
2018-02,53
2018-03,52
2018-04,53
2018-05,49
2018-06,44
2018-07,50
2018-08,44
2018-09,44
2018-10,46
2018-11,42
2018-12,42
2019-01,55
2019-02,50
2019-03,52
2019-04,47
2019-05,43
2019-06,42
2019-07,42
2019-08,35
2019-09,41
2019-10,37
2019-11,38
2019-12,38
2020-01,52
2020-02,46
2020-03,37
2020-04,42
2020-05,41
2020-06,38
2020-07,38
2020-08,35
2020-09,40
2020-10,44
2020-11,37
2020-12,38
2021-01,42
2021-02,44
2021-03,37
2021-04,41
2021-05,37
2021-06,34
2021-07,35
2021-08,32
2021-09,34
2021-10,34
2021-11,32
2021-12,29
2022-01,38
2022-02,39
2022-03,41
2022-04,41
2022-05,40
2022-06,34
2022-07,33
2022-08,30
2022-09,32
2022-10,34
2022-11,30
2022-12,29
