Category: All categories,
,
Month,fitness apps: (United States)
2012-02,42
2012-03,39
2012-04,46
2012-05,40
2012-06,40
2012-07,43
2012-08,42
2012-09,40
2012-10,33
2012-11,36
2012-12,49
2013-01,90
2013-02,54
2013-03,46
2013-04,48
2013-05,59
2013-06,51
2013-07,56
2013-08,50
2013-09,54
2013-10,47
2013-11,47
2013-12,56
2014-01,89
2014-02,62
2014-03,69
2014-04,60
2014-05,58
2014-06,100
2014-07,73
2014-08,60
2014-09,69
2014-10,58
2014-11,56
2014-12,65
2015-01,91
2015-02,67
2015-03,60
2015-04,68
2015-05,60
2015-06,71
2015-07,65
2015-08,60
2015-09,60
2015-10,57
2015-11,52
2015-12,64
2016-01,82
2016-02,65
2016-03,54
2016-04,57
2016-05,53
2016-06,51
2016-07,61
2016-08,47
2016-09,51
2016-10,42
2016-11,44
2016-12,53
2017-01,86
2017-02,59
2017-03,49
2017-04,61
2017-05,54
2017-06,54
2017-07,59
2017-08,52
2017-09,47
2017-10,47
2017-11,44
2017-12,62
2018-01,92
2018-02,65
2018-03,54
2018-04,64
2018-05,52
2018-06,56
2018-07,62
2018-08,52
2018-09,49
2018-10,48
2018-11,46
2018-12,64
2019-01,96
2019-02,69
2019-03,63
2019-04,63
2019-05,52
2019-06,62
2019-07,58
2019-08,47
2019-09,53
2019-10,36
2019-11,49
2019-12,52
2020-01,83
2020-02,60
2020-03,71
2020-04,76
2020-05,62
2020-06,65
2020-07,54
2020-08,50
2020-09,52
2020-10,46
2020-11,39
2020-12,50
2021-01,76
2021-02,44
2021-03,47
2021-04,43
2021-05,45
2021-06,41
2021-07,39
2021-08,35
2021-09,32
2021-10,32
2021-11,35
2021-12,41
2022-01,64
2022-02,50
2022-03,56
2022-04,52
2022-05,41
2022-06,44
2022-07,48
2022-08,42
2022-09,39
2022-10,39
2022-11,42
2022-12,36
