"date","step_count","mood","calories_burned","hours_of_sleep","bool_of_active","weight_kg"
"2017-10-06","5464","200","181","5","0","66"
"2017-10-07","6041","100","197","8","0","66"
"2017-10-08","25","100","0","5","0","66"
"2017-10-09","5461","100","174","4","0","66"
"2017-10-10","6915","200","223","5","500","66"
"2017-10-11","4545","100","149","6","0","66"
"2017-10-12","4340","100","140","6","0","66"
"2017-10-13","1230","100","38","7","0","66"
"2017-10-14","61","100","1","5","0","66"
"2017-10-15","1258","100","40","6","0","65"
"2017-10-16","3148","100","101","8","0","65"
"2017-10-17","4687","100","152","5","0","65"
"2017-10-18","4732","300","150","6","500","65"
"2017-10-19","3519","100","113","7","0","65"
"2017-10-20","1580","100","49","5","0","65"
"2017-10-21","2822","100","86","6","0","65"
"2017-10-22","181","100","6","8","0","65"
"2017-10-23","3158","200","99","5","0","65"
"2017-10-24","4383","200","143","4","0","64"
"2017-10-25","3881","200","125","5","0","64"
"2017-10-26","4037","200","129","6","0","64"
"2017-10-27","202","200","6","8","0","64"
"2017-10-28","292","200","9","5","0","64"
"2017-10-29","330","300","10","6","0","64"
"2017-10-30","2209","200","72","5","0","64"
"2017-10-31","4550","300","150","8","500","64"
"2017-11-01","4435","300","141","5","0","64"
"2017-11-02","4779","300","156","4","0","64"
"2017-11-03","1831","300","57","5","0","64"
"2017-11-04","2255","300","72","4","0","64"
"2017-11-05","539","300","17","5","500","64"
"2017-11-06","5464","300","181","4","0","64"
"2017-11-07","6041","200","197","3","0","64"
"2017-11-08","4068","300","131","2","0","64"
"2017-11-09","4683","300","154","9","0","64"
"2017-11-10","4033","300","137","5","0","64"
"2017-11-11","6314","300","193","6","500","64"
"2017-11-12","614","300","19","4","500","64"
"2017-11-13","3149","300","101","5","500","64"
"2017-11-14","4005","300","139","8","500","64"
"2017-11-15","4880","300","164","4","500","64"
"2017-11-16","4136","300","137","5","500","64"
"2017-11-17","705","300","22","6","500","64"
"2017-11-18","570","200","17","5","500","64"
"2017-11-19","269","300","9","6","500","64"
"2017-11-20","4275","300","145","5","0","64"
"2017-11-21","5999","300","192","6","0","64"
"2017-11-22","4421","300","146","5","0","64"
"2017-11-23","6930","300","234","6","0","64"
"2017-11-24","5195","300","167","5","0","64"
"2017-11-25","546","300","16","6","0","64"
"2017-11-26","493","300","17","7","500","64"
"2017-11-27","995","300","32","6","500","64"
"2017-11-28","1163","200","35","7","500","64"
"2017-11-29","6676","100","220","6","500","64"
"2017-11-30","3608","300","116","5","500","64"
"2017-12-01","774","300","23","6","500","64"
"2017-12-02","1421","300","44","7","500","64"
"2017-12-03","4064","300","131","8","500","64"
"2017-12-04","2725","300","86","8","500","64"
"2017-12-05","5934","300","194","7","500","64"
"2017-12-06","1867","300","60","8","500","64"
"2017-12-07","3721","100","121","5","500","64"
"2017-12-08","2374","200","76","4","0","64"
"2017-12-09","2909","200","93","3","500","64"
"2017-12-10","1648","100","53","3","500","64"
"2017-12-11","799","100","25","4","0","64"
"2017-12-12","7102","200","227","5","500","64"
"2017-12-13","3941","200","125","5","500","64"
"2017-12-14","7422","300","243","5","500","64"
"2017-12-15","437","200","14","3","500","64"
"2017-12-16","1231","200","39","4","500","64"
"2017-12-17","1696","100","55","4","0","64"
"2017-12-18","4921","200","158","5","500","64"
"2017-12-19","221","100","7","5","500","64"
"2017-12-20","6500","200","213","5","500","64"
"2017-12-21","3575","200","116","5","500","64"
"2017-12-22","4061","100","129","5","0","64"
"2017-12-23","651","100","21","5","0","64"
"2017-12-24","753","100","28","4","0","64"
"2017-12-25","518","100","16","3","0","64"
"2017-12-26","5537","300","180","4","500","64"
"2017-12-27","4108","200","138","5","500","64"
"2017-12-28","5376","300","176","5","500","64"
"2017-12-29","3066","200","99","4","500","64"
"2017-12-30","177","100","5","5","0","64"
"2017-12-31","36","100","1","3","0","64"
"2018-01-01","299","100","10","3","0","64"
"2018-01-02","1447","200","47","3","0","64"
"2018-01-03","2599","200","84","2","0","64"
"2018-01-04","702","100","23","3","0","64"
"2018-01-05","133","100","4","2","0","64"
"2018-01-06","153","300","0","8","0","64"
"2018-01-07","500","200","0","5","500","64"
"2018-01-08","2127","200","0","5","0","64"
"2018-01-09","2203","300","0","5","500","64"
